companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;vpa;lpa;valorMercado;dy;liquidezMediaDiaria;receitas_Cagr5;lucros_Cagr5
659;NEOGRID;NGRD3;1,56;279,9348;0,8243;69,7869;0,518;32,7152;64,86;2,03;0,51;1,4151;1,8436;-0,9784;0,37;0,29;0,19;-0,05;-0,43;-36,62;0,63;0,37;2,48;-2,99166812;1,8925;0,0056;367539988,2;0,9529;1172491,35;;
683;WESTWING COMERCIO VAREJISTA S.A.;WEST3;1,0;-2,3752;0,314;-1,4484;0,2593;0,2455;41,97;-27,71;-16,9;0,4014;0,4681;-0,741;0,65;-13,22;-10,92;-23,69;-0,37;1,71;0,83;0,17;6,77;-0,04604147;3,1849;-0,421;110330290,0;;614269,45;;
246;LOCALIZA;RENT3;53,76;28,6795;2,5972;12,9501;0,822;18,6497;40,31;28,05;12,67;3,6328;63,1472;-1,0721;0,23;9,06;2,87;6,78;1,14;5,67;0,32;0,68;1,06;-3,53927642;20,6569;1,8707;52573774153,94;2,4545;578743008,85;19,68;35,08
798;RAIZEN S.A.;RAIZ4;3,77;29,7692;1,7488;8,5777;0,3879;13,9689;4,82;1,9;0,55;0,1626;5,871;-0,7303;2,39;5,87;1,3;8,04;1,1;5,39;0,22;0,78;1,16;-0,66989551;2,1501;0,1263;38821910565,0;4,5322;52754810,43;;
263;SANTANENSE;CTSA4;1,64;-1,323;0,1632;-2,5135;0,0737;-11,1836;10,14;-3,75;-7,12;0,0942;-1,271;-0,1068;0,78;-12,34;-5,57;-8,29;0,46;-7,06;0,45;0,55;0,84;0,00656666;10,0476;-1,2396;74848660,89;;33668,5;9,79;
263;SANTANENSE;CTSA8;0,0;0,0;0,0;0,0;0,0;-11,1836;10,14;-3,75;-7,12;0,0;0,0;0,0;0,78;-12,34;-5,57;-8,29;0,46;-7,06;0,45;0,55;0,84;0,0;10,0476;-1,2396;74848660,89;;;9,79;
263;SANTANENSE;CTSA3;2,55;-2,0571;0,2538;-3,9082;0,1147;-11,1836;10,14;-3,75;-7,12;0,1464;-1,9763;-0,166;0,78;-12,34;-5,57;-8,29;0,46;-7,06;0,45;0,55;0,84;0,01021036;10,0476;-1,2396;74848660,89;;11093,1;9,79;
770;BANCO MODAL S.A;MODL11;8,46;27,4091;1,509;11,4981;0,2476;11,4981;58,04;12,02;5,04;1,3821;;-0,3138;0,18;5,51;0,9;;;;0,16;0,84;;-1,51485575;5,6065;0,3087;1985844000,0;2,6999;3256574,36;;
770;BANCO MODAL S.A;MODL3;2,1;20,411;1,1237;8,5624;0,1844;11,4981;58,04;12,02;5,04;1,0292;;-0,2337;0,18;5,51;0,9;;;;0,16;0,84;;-1,12808407;1,8688;0,1029;1985844000,0;4,6675;10066402,58;;
770;BANCO MODAL S.A;MODL4;2,72;26,4371;1,4554;11,0904;0,2389;11,4981;58,04;12,02;5,04;1,3331;;-0,3027;0,18;5,51;0,9;;;;0,16;0,84;;-1,46113746;1,8688;0,1029;1985844000,0;2,7992;31974,18;;
